Names	Genes	amr_gene_family	drug_class	resistance_mechanism	Description	Amblerclass	Subfamily	Note	Source
vgaD	ARO:3002832	ABC-F ATP-binding cassette ribosomal protection protein	macrolide;lincosamide;streptogramin;tetracycline;oxazolidinone;phenicol;pleuromutilin	target protection	vgaD is an ABC-F subfamily protein expressed in  that confers resistance to streptogramin As and related compounds. It is associated w/ plasmid DNA.				
vgaE	ARO:3002833	ABC-F ATP-binding cassette ribosomal protection protein	macrolide;lincosamide;streptogramin;tetracycline;oxazolidinone;phenicol;pleuromutilin	target protection	vgaE is an ABC-F subfamily protein expressed in staphylococci that confers resistance to streptogramin As and related compounds. It is associated w/ transposon DNA.				
vmlR	ARO:3004476	ABC-F ATP-binding cassette ribosomal protection protein	macrolide;lincosamide;streptogramin;tetracycline;oxazolidinone;phenicol;pleuromutilin	target protection	vmlR is an ABC-F ATPase ribosomal protection protein identified in Bacillus subtilus. Shown to confer resistance to lincomycin and streptogramin A virginiamycin. Described by Crowe-McAuliffe et al. 2018.				
ACC-1	ARO:3001815	ACC beta-lactamase	monobactam;cephalosporin;penam	inactivation	ACC-1 is a beta-lactamase found in Klebsiella pneumoniae	C	ACC-1-like		A
ACC-2	ARO:3001816	ACC beta-lactamase	monobactam;cephalosporin;penam	inactivation	ACC-2 is a beta-lactamase found in Hafnia alvei	C			N (Hafniaalvei)
ACC-3	ARO:3001817	ACC beta-lactamase	monobactam;cephalosporin;penam	inactivation	ACC-3 is a beta-lactamase found in Hafnia alvei				
ACC-4	ARO:3001818	ACC beta-lactamase	monobactam;cephalosporin;penam	inactivation	ACC-4 is a beta-lactamase found in E.coli	C	ACC-1-like		A
ACC-5	ARO:3001819	ACC beta-lactamase	monobactam;cephalosporin;penam	inactivation	ACC-5 is a beta-lactamase. From the Lahey list of ACC beta-lactamases. It is detected among Gram-negative bacteria isolates (Gamma- and Alpha-proteobacteria) from urban water sources.	C	ACC-1-like		N (Hafniaalvei)
ACI-1	ARO:3004359	ACI beta-lactamase	cephalosporin;penam	inactivation	A class A beta-lactamase described in Acidaminococcus fermentans. ACI-1 was the first description of a beta-lactamase enzyme in a gram-negative anaerobic cocci. Described by Galan et al 2000.	A		ESBL	N (Acidaminococcusfermentans)
ACT-1	ARO:3001821	ACT beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	ACT-1 is a beta-lactamase found in Klebsiella pneumoniae	C			A
ACT-10	ARO:3001832	ACT beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	ACT-10 is a beta-lactamase. From the Lahey list of ACT beta-lactamases.	C			A
ACT-12	ARO:3001834	ACT beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	ACT-12 is a beta-lactamase. From the Lahey list of ACT beta-lactamases.	C			N (Enterobactercloacae)
ACT-13	ARO:3001835	ACT beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	ACT-13 is a beta-lactamase. From the Lahey list of ACT beta-lactamases.	C			N (Enterobacterasburiae)
ACT-14	ARO:3001836	ACT beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	ACT-14 is a beta-lactamase. From the Lahey list of ACT beta-lactamases.	C			N (Enterobactercloacae)
ACT-15	ARO:3001837	ACT beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	ACT-15 is a beta-lactamase. From the Lahey list of ACT beta-lactamases.	C			N (Enterobactercloacae)
ACT-16	ARO:3001827	ACT beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	ACT-16 is a beta-lactamase found in Enterobacteriaceae	C			N (Enterobactercloacae)
ACT-17	ARO:3001838	ACT beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	ACT-17 is a beta-lactamase. From the Lahey list of ACT beta-lactamases.	C			A
ACT-18	ARO:3001839	ACT beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	ACT-18 is a beta-lactamase. From the Lahey list of ACT beta-lactamases.	C			N (Enterobactercloacae)
ACT-19	ARO:3001840	ACT beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	ACT-19 is a beta-lactamase. From the Lahey list of ACT beta-lactamases.	C			N (Enterobactercloacae)
ACT-2	ARO:3001822	ACT beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	ACT-2 is a beta-lactamase found in Klebsiella pneumoniae	C			N (Enterobacterasburiae)
ACT-20	ARO:3001841	ACT beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	ACT-20 is a beta-lactamase. From the Lahey list of ACT beta-lactamases.	C			N (Enterobacterhormaechei)
ACT-21	ARO:3001842	ACT beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	ACT-21 is a beta-lactamase. From the Lahey list of ACT beta-lactamases.	C			N (Enterobacterhormaechei)
ACT-22	ARO:3001843	ACT beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	ACT-22 is a beta-lactamase. From the Lahey list of ACT beta-lactamases.	C			N (Enterobactercloacae)
ACT-23	ARO:3001828	ACT beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	ACT-23 is a beta-lactamase found in E.coli	C			N (Enterobactercloacae)
ACT-24	ARO:3001844	ACT beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	ACT-24 is a beta-lactamase. From the Lahey list of ACT beta-lactamases.	C			N (Enterobactercloacae)
ACT-25	ARO:3001845	ACT beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	ACT-25 is a beta-lactamase. From the Lahey list of ACT beta-lactamases.	C			N (Enterobactercloacae)
ACT-27	ARO:3001847	ACT beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	ACT-27 is a beta-lactamase. From the Lahey list of ACT beta-lactamases.	C			N (Enterobactercloacae)
ACT-28	ARO:3001848	ACT beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	ACT-28 is a beta-lactamase. From the Lahey list of ACT beta-lactamases.	C			N (Enterobactercloacae)
ACT-29	ARO:3001849	ACT beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	ACT-29 is a beta-lactamase. From the Lahey list of ACT beta-lactamases.	C			N (Enterobacterasburiae)
ACT-3	ARO:3001823	ACT beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	ACT-3 is a beta-lactamase found in Klebsiella pneumoniae	C			A
ACT-30	ARO:3001850	ACT beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	ACT-30 is a beta-lactamase. From the Lahey list of ACT beta-lactamases.	C			N (Enterobactercloacae)
ACT-31	ARO:3001851	ACT beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	ACT-31 is a beta-lactamase. From the Lahey list of ACT beta-lactamases.	C			N (Enterobactercloacae)
ACT-32	ARO:3001852	ACT beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	ACT-32 is a beta-lactamase. From the Lahey list of ACT beta-lactamases.	C			N (Enterobactercloacae)
ACT-33	ARO:3001853	ACT beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	ACT-33 is a beta-lactamase. From the Lahey list of ACT beta-lactamases.	C			N (Enterobactercloacae)
ACT-35	ARO:3001855	ACT beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	ACT-35 is a beta-lactamase. From the Lahey list of ACT beta-lactamases.	C			N (Enterobactercloacae)
ACT-36	ARO:3003171	ACT beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	From the Lahey list of beta-lactamases.	C			N (Enterobactercloacae)
ACT-37	ARO:3003172	ACT beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	From the Lahey list of beta-lactamases.	C			N (Enterobactercloacae)
ACT-38	ARO:3003655	ACT beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	A class C beta-lactamase from Citrobacter freundii.	C			A
ACT-4	ARO:3001829	ACT beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	ACT-4 is a beta-lactamase. From the Lahey list of ACT beta-lactamases.	C			N (Enterobacterasburiae)
ACT-5	ARO:3001824	ACT beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	ACT-5 is a beta-lactamase found in E.coli	C			A
ACT-6	ARO:3001825	ACT beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	ACT-6 is a beta-lactamase found in Klebsiella pneumoniae	C			A
ACT-7	ARO:3001830	ACT beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	ACT-7 is a beta-lactamase. From the Lahey list of ACT beta-lactamases.	C			A
ACT-8	ARO:3001831	ACT beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	ACT-8 is a beta-lactamase. From the Lahey list of ACT beta-lactamases.	C			A
ACT-9	ARO:3001826	ACT beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	ACT-9 is a beta-lactamase found in Pantoea agglomerans	C			A
ADC-68	ARO:3004493	ADC beta-lactamase w/ carbapenamase	carbapenam	inactivation	A class C carbapenamase and extended-spectrum beta-lactamase identified from A. baumannii	C	ADC-like		N (Acinetobacterbaumannii)
ADC-1	ARO:3003847	ADC beta-lactamase w/o carbapenamase	cephalosporin	inactivation	ADC-1 is a beta-lactamase found in A. baumannii.	C	ADC-like		N (Acinetobacterbaumannii)
ADC-10	ARO:3003855	ADC beta-lactamase w/o carbapenamase	cephalosporin	inactivation	ADC-10 is a beta-lactamase found in A. baumannii.	C			N (Acinetobacterbaumannii)
ADC-11	ARO:3004615	ADC beta-lactamase w/o carbapenamase	cephalosporin	inactivation	ADC-11 is a class C beta-lactamase found in A. baumannii	C	ADC-like		N (Acinetobacterbaumannii)
ADC-12	ARO:3003856	ADC beta-lactamase w/o carbapenamase	cephalosporin	inactivation	ADC-12 is a beta-lactamase found in A. pittii.	C	ADC-like		N (Acinetobacterpittii)
ADC-13	ARO:3003857	ADC beta-lactamase w/o carbapenamase	cephalosporin	inactivation	ADC-13 is a beta-lactamase found in A. pittii.	C	ADC-like		N (Acinetobacterpittii)
ADC-14	ARO:3003858	ADC beta-lactamase w/o carbapenamase	cephalosporin	inactivation	ADC-14 is a beta-lactamase found in A. pittii.	C	ADC-like		N (Acinetobacterpittii)
ADC-15	ARO:3003859	ADC beta-lactamase w/o carbapenamase	cephalosporin	inactivation	ADC-15 is a beta-lactamase found in A. pittii.	C	ADC-like		N (Acinetobacterpittii)
ADC-16	ARO:3003860	ADC beta-lactamase w/o carbapenamase	cephalosporin	inactivation	ADC-16 is a beta-lactamase found in A. pittii.	C	ADC-like		N (Acinetobacterpittii)
ADC-17	ARO:3003861	ADC beta-lactamase w/o carbapenamase	cephalosporin	inactivation	ADC-17 is a beta-lactamase found in A. pittii.	C	ADC-like		N (Acinetobacterpittii)
ADC-18	ARO:3003862	ADC beta-lactamase w/o carbapenamase	cephalosporin	inactivation	ADC-18 is a beta-lactamase found in A. pittii.	C	ADC-like		N (Acinetobacterbaumannii)
ADC-19	ARO:3003863	ADC beta-lactamase w/o carbapenamase	cephalosporin	inactivation	ADC-19 is a beta-lactamase found in A. pittii.	C	ADC-like		N (Acinetobacterpittii)
ADC-2	ARO:3003848	ADC beta-lactamase w/o carbapenamase	cephalosporin	inactivation	ADC-2 is a beta-lactamase found in Oligella urethralis.	C	ADC-like		A
ADC-20	ARO:3003864	ADC beta-lactamase w/o carbapenamase	cephalosporin	inactivation	ADC-20 is a beta-lactamase found in A. pittii.	C	ADC-like		N (Acinetobacterpittii)
ADC-21	ARO:3003865	ADC beta-lactamase w/o carbapenamase	cephalosporin	inactivation	ADC-21 is a beta-lactamase found in A. pittii.	C	ADC-like		N (Acinetobacterpittii)
ADC-22	ARO:3003866	ADC beta-lactamase w/o carbapenamase	cephalosporin	inactivation	ADC-22 is a beta-lactamase found in A. pittii.	C	ADC-like		N (Acinetobacterpittii)
ADC-23	ARO:3003867	ADC beta-lactamase w/o carbapenamase	cephalosporin	inactivation	ADC-23 is a beta-lactamase found in A. pittii.	C	ADC-like		N (Acinetobacterpittii)
ADC-25	ARO:3003868	ADC beta-lactamase w/o carbapenamase	cephalosporin	inactivation	ADC-25 is a beta-lactamase found in A. baumannii.	C	ADC-like		N (Acinetobacterbaumannii)
ADC-3	ARO:3003849	ADC beta-lactamase w/o carbapenamase	cephalosporin	inactivation	ADC-3 is a beta-lactamase found in A. baumannii.	C	ADC-like		N (Acinetobacterbaumannii)
ADC-30	ARO:3004617	ADC beta-lactamase w/o carbapenamase	cephalosporin	inactivation	An ADC beta-lactamase and cephalosporinase from A. baumannii	C	ADC-like		N (Acinetobacterbaumannii)
ADC-31	ARO:3003870	ADC beta-lactamase w/o carbapenamase	cephalosporin	inactivation	ADC-31 is a beta-lactamase found in A. baumannii.	C	ADC-like		N (Acinetobacterbaumannii)
ADC-39	ARO:3003871	ADC beta-lactamase w/o carbapenamase	cephalosporin	inactivation	ADC-39 is a beta-lactamase found in A. baumannii.	C	ADC-like		N (Acinetobacterbaumannii)
ADC-4	ARO:3003850	ADC beta-lactamase w/o carbapenamase	cephalosporin	inactivation	ADC-4 is a beta-lactamase found in A. baumannii.	C	ADC-like		N (Acinetobacterbaumannii)
ADC-41	ARO:3003872	ADC beta-lactamase w/o carbapenamase	cephalosporin	inactivation	ADC-41 is a beta-lactamase found in A. pittii.	C	ADC-like		N (Acinetobacterpittii)
ADC-42	ARO:3003873	ADC beta-lactamase w/o carbapenamase	cephalosporin	inactivation	ADC-42 is a beta-lactamase found in A. pittii.	C	ADC-like		N (Acinetobacterpittii)
ADC-43	ARO:3003874	ADC beta-lactamase w/o carbapenamase	cephalosporin	inactivation	ADC-43 is a beta-lactamase found in A. pittii.	C	ADC-like		N (Acinetobacterpittii)
ADC-44	ARO:3003876	ADC beta-lactamase w/o carbapenamase	cephalosporin	inactivation	ADC-44 is a beta-lactamase found in A. pittii.	C	ADC-like		N (Acinetobacterpittii)
ADC-5	ARO:3003851	ADC beta-lactamase w/o carbapenamase	cephalosporin	inactivation	ADC-5 is a beta-lactamase found in A. pittii.	C	ADC-like		N (Acinetobacterbaumannii)
ADC-56	ARO:3003878	ADC beta-lactamase w/o carbapenamase	cephalosporin	inactivation	ADC-56 is a beta-lactamase found in A. baumannii.	C	ADC-like		N (Acinetobacterbaumannii)
ADC-58	ARO:3004618	ADC beta-lactamase w/o carbapenamase	cephalosporin	inactivation	An ADC beta-lactamase and cephalosporinase from A. baumannii	C	ADC-like		N (Acinetobacterbaumannii)
ADC-59	ARO:3004619	ADC beta-lactamase w/o carbapenamase	cephalosporin	inactivation	An ADC beta-lactamase and cephalosporinase from A. baumannii	C	ADC-like		N (Acinetobacterbaumannii)
ADC-6	ARO:3003852	ADC beta-lactamase w/o carbapenamase	cephalosporin	inactivation	ADC-6 is a beta-lactamase found in A. baumannii.	C	ADC-like		N (Acinetobacterbaumannii)
ADC-60	ARO:3004620	ADC beta-lactamase w/o carbapenamase	cephalosporin	inactivation	An ADC beta-lactamase and cephalosporinase from A. baumannii	C	ADC-like		N (Acinetobacterbaumannii)
ADC-61	ARO:3003879	ADC beta-lactamase w/o carbapenamase	cephalosporin	inactivation	ADC-61 is a beta-lactamase found in A. baumannii.	C	ADC-like		N (Acinetobacterbaumannii)
ADC-62	ARO:3004632	ADC beta-lactamase w/o carbapenamase	cephalosporin	inactivation	A class ADC beta-lactamase and cephalosporinase from A. baumannii	C	ADC-like		N (Acinetobacterbaumannii)
ADC-67	ARO:3004633	ADC beta-lactamase w/o carbapenamase	cephalosporin	inactivation	A class C beta-lactamase and cephalosporinase from A. baumannii	C	ADC-like		N (Acinetobacterbaumannii)
ADC-7	ARO:3003853	ADC beta-lactamase w/o carbapenamase	cephalosporin	inactivation	ADC-7 is a beta-lactamase that is found in A. baumannii.	C	ADC-like		N (Acinetobacterbaumannii)
ADC-73	ARO:3004634	ADC beta-lactamase w/o carbapenamase	cephalosporin	inactivation	A class C ADC beta-lactamase and cephalosporinase found in A. baumannii	C	ADC-like		N (Acinetobacterbaumannii)
ADC-74	ARO:3003880	ADC beta-lactamase w/o carbapenamase	cephalosporin	inactivation	ADC-74 is a beta-lactamase found in A. baumannii.	C	ADC-like		N (Acinetobacterbaumannii)
ADC-75	ARO:3003881	ADC beta-lactamase w/o carbapenamase	cephalosporin	inactivation	ADC-75 is a beta-lactamase found in A. baumannii.	C	ADC-like		N (Acinetobacterbaumannii)
ADC-76	ARO:3003882	ADC beta-lactamase w/o carbapenamase	cephalosporin	inactivation	ADC-76 is a beta-lactamase found in A. baumannii.	C	ADC-like		N (Acinetobacterbaumannii)
ADC-77	ARO:3003883	ADC beta-lactamase w/o carbapenamase	cephalosporin	inactivation	ADC-77 is a beta-lactamase found in A. baumannii.	C	ADC-like		N (Acinetobacterbaumannii)
ADC-78	ARO:3003884	ADC beta-lactamase w/o carbapenamase	cephalosporin	inactivation	ADC-78 is a beta-lactamase found in A. baumannii.	C	ADC-like		N (Acinetobacterbaumannii)
ADC-79	ARO:3003885	ADC beta-lactamase w/o carbapenamase	cephalosporin	inactivation	ADC-79 is a beta-lactamase found in A. baumannii.	C	ADC-like		N (Acinetobacterbaumannii)
ADC-8	ARO:3003854	ADC beta-lactamase w/o carbapenamase	cephalosporin	inactivation	ADC-8 is a beta-lactamase found in A. sp.	C			
ADC-81	ARO:3003887	ADC beta-lactamase w/o carbapenamase	cephalosporin	inactivation	ADC-81 is a beta-lactamase found in A. baumannii.	C	ADC-like		N (Acinetobacterbaumannii)
ADC-82	ARO:3003888	ADC beta-lactamase w/o carbapenamase	cephalosporin	inactivation	ADC-82 is a beta-lactamase found in A. baumannii.	C	ADC-like		N (Acinetobacterbaumannii)
